Total Daily Amount Difference
-176450.0
66940.0
34980.0
98210.0
-86020.0
-17940.0
58880.0
13350.0
-131120.0
75980.0
119520.0
-208030.0
66130.0
-3470.0
-94890.0
100430.0
4970.0
-101650.0
76540.0
-53340.0
166460.0
18070.0
-168450.0
139480.0
-160.0
-180740.0
101070.0
51350.0
-134190.0
-28070.0
109660.0
-3170.0
85100.0
-77310.0
-34430.0
159220.0
-151500.0
-50370.0
54740.0
127772.0
-181772.0
100220.0
-33640.0
-220.0
95350.0
-90910.0
-69750.0
-18870.0
167540.0
-111530.0
18880.0
95920.0
-78080.0
-72400.0
-18260.0
164930.0
-75120.0
-15430.0
84700.0
-87490.0
-52910.0
139110.0
-168720.0
78000.0
33520.0
159250.0
-161000.0
-17940.0
-70240.0
-18160.0
167280.0
-77260.0
-25890.0
102620.0
-85140.0
-64840.0
-18860.0
159660.0
-72000.0
-16630.0
114960.0
-108120.0
-62460.0
-18580.0
163010.0
-65860.0
-2150.0
72920.0
3190.0
-131670.0
214480.0
-87980.0
-75410.0
-20850.0
113310.0
-86190.0
-70920.0
-24490.0
167170.0
-66220.0
-15818.0
104978.0
-92690.0
-87820.0
-10390.0
178330.0
-83660.0
-7490.0
115430.0
-174380.0
66040.0
-9360.0
-84970.0
111470.0
26240.0
-47010.0
114450.0
-99970.0
-70070.0
-38300.0
204980.0
-108250.0
-80750.0
181940.0
-84520.0
-79400.0
-31190.0
199970.0
-105740.0
-5270.0
124950.0
-110230.0
-68450.0
-32320.0
6620.0
62710.0
-49810.0
161240.0
84280.0
-196878.0
-11002.0
-41590.0
232030.0
-119540.0
9250.0
120250.0
-121050.0
-71080.0
184100.0
-107090.0
-13090.0
115390.0
-93210.0
-102820.0
-45340.0
113120.0
69840.0
-27680.0
-153510.0
102400.0
46460.0
-162180.0
165740.0
-41388.0
-32312.0
144960.0
-85410.0
-94630.0
-42500.0
109060.0
4910.0
87030.0
-66690.0
-152030.0
-9380.0
16750.0
102590.0
4910.0
78040.0
-59030.0
-136990.0
139860.0
-131710.0
63560.0
302773.0
-12429.0
-149849.0
-170575.0
178330.0
-76948.0
-79700.0
-46842.0
210260.0
-93260.0
-19040.0
102570.0
-82820.0
-58660.0
-48080.0
192020.0
-85880.0
-15380.0
119930.0
-107590.0
-75460.0
-34950.0
185960.0
-196310.0
111190.0
4450.0
-66250.0
102270.0
301082.0
-416682.0
419033.0
-288929.0
-166044.0
10800.0
195000.0
-75040.0
-20800.0
94710.0
-68320.0
-97100.0
-31880.0
201790.0
-83430.0
-12870.0
100450.0
-87240.0
-79690.0
-36470.0
200640.0
-8290.0
19230.0
-6690.0
-203680.0
62720.0
351275.0
-413255.0
259495.0
-214215.0
418581.0
-465121.0
233030.0
-98400.0
-18310.0
110750.0
-94690.0
-91030.0
-36710.0
228540.0
-4490.0
139290.0
-325690.0
-38410.0
125680.0
-2540.0
10090.0
673060.0
-470270.0
-306920.0
310111.0
-82048.0
-264963.0
353498.0
23882.0
92110.0
-402950.0
-41930.0
-24490.0
172900.0
315880.0
-95750.0
190510.0
-230990.0
-317720.0
-32610.0
449030.0
149140.0
-227400.0
91520.0
-398280.0
-41030.0
105350.0
-81690.0
-1550.0
571670.0
-613260.0
209827.0
-19929.0
83738.0
-13911.0
286392.0
-505967.0
-39930.0
421470.0
-76416.0
-129894.0
412060.0
-94206.0
-497474.0
-30550.0
453650.0
-195990.0
162980.0
131180.0
-200380.0
-314010.0
-51010.0
444775.0
-10957.0
-189748.0
-236070.0
-4690.0
286200.0
108900.0
130374.0
-174592.0
-323162.0
298217.0
79033.0
193317.0
-196479.0
-94661.0
36340.0
33961.0
-341398.0
-37670.0
353353.0
-150819.0
142907.0
79734.0
-91415.0
-290400.0
-41670.0
445703.0
61629.0
-92075.0
46382.0
-335099.0
87570.0
5670.0
490470.0
-670880.0
483666.0
-172390.0
-354136.0
339489.0
27072.0
-127728.0
407671.0
-409254.0
-195470.0
-40040.0
460414.0
-272095.0
273871.0
5876.0
-143774.0
-286312.0
-36730.0
458704.0
-107359.0
-64969.0
-28227.0
164528.0
-384427.0
-39940.0
52790.0
78280.0
2790.0
415990.0
-543990.0
455461.0
-194531.0
-41726.0
131468.0
-326532.0
-800.0
-35420.0
343377.0
-60324.0
-47807.0
96577.0
-104890.0
-178653.0
-44160.0
454744.0
-126770.0
-129042.0
294539.0
-226179.0
-238052.0
-25210.0
318319.0
106865.0
-70945.0
-356489.0
109160.0
-2810.0
-76550.0
521610.0
-183735.0
-329975.0
-56670.0
266201.0
-251131.0
17440.0
253440.0
249110.0
-192455.0
-287415.0
-36480.0
492194.0
-231312.0
-166272.0
434232.0
-308835.0
-191307.0
-29130.0
328294.0
191944.0
-240220.0
66489.0
5139.0
-132216.0
-11440.0
12180.0
-214140.0
331570.0
-62660.0
-273990.0
141280.0
-100470.0
95370.0
-41037.0
39337.0
-8810.0
8460.0
665550.0
-413440.0
-349170.0
112180.0
149143.0
-298433.0
448795.0
-331365.0
-70480.0
-70.0
448290.0
-35108.0
-456932.0
226515.0
-43697.0
431974.0
-308503.0
